yyyymm,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Mkt - Rf,Rf
11/1/2015,-0.93,1.92,0.43,1.07,1.21,-1.97,0.86,0.49,-3.4,1.19,0.56,0
12/1/2015,0.8,-3.99,-2.61,-9.52,-2.6,-3.07,0.29,0.32,-2.32,-2.62,-2.17,0.01
1/1/2016,0.13,-12.6,-5.66,-4.38,-6.06,0.17,-4.17,-9.97,4.66,-8.29,-5.77,0.01
2/1/2016,0.64,4.06,3.38,-2.88,-0.94,0.93,0.04,-0.95,1.75,-0.14,-0.08,0.02
3/1/2016,4.97,10.78,6.76,10.8,8.32,6.06,5.73,3.94,7.86,7.05,6.96,0.02
4/1/2016,0.29,1.51,2.28,9.11,-3.98,0.71,-0.6,4.94,-0.84,2.37,0.92,0.01
5/1/2016,0.68,-1.16,-0.67,-0.61,5.02,0.3,0.99,2.39,2.23,0.9,1.78,0.01
6/1/2016,4.72,-5.75,0.9,2.6,-1.85,3.55,0.84,-0.09,7.41,-2.7,-0.05,0.02
7/1/2016,-0.07,8.76,4.03,-2.76,7.79,2.37,3.49,6.12,-0.19,3.51,3.95,0.02
8/1/2016,-0.63,0.35,1.48,1.47,1.81,-3.59,-1.43,-3.12,-3.9,3.37,0.5,0.02
9/1/2016,-2.52,-1.63,-0.2,2.82,2.35,0.73,-0.68,0.56,1.76,-1.25,0.25,0.02
10/1/2016,-0.14,-3.57,-2.61,-2.8,-1.12,-2.76,-3.97,-7.49,-0.59,0.68,-2.02,0.02
11/1/2016,-3.85,7.62,6.11,9.35,0.5,6.44,4.45,2.4,-2.82,11.34,4.86,0.01
12/1/2016,3.51,3.87,0.5,2.1,0.82,4.77,-0.41,0.71,3.64,2.96,1.81,0.03
1/1/2017,1.63,2.74,3.4,-4.36,4.68,2.88,1,2.02,1.08,0.93,1.94,0.04
2/1/2017,3.69,0.66,4.16,-2.4,4.95,0.13,2.81,6.97,4.05,3.71,3.57,0.04
3/1/2017,0.91,0.11,0.11,-1.19,2.12,1.05,0.8,0.03,0.32,-1.69,0.17,0.03
4/1/2017,0.52,1.73,1.85,-2.66,2.72,0.02,2.7,0.91,0.38,0.23,1.09,0.05
5/1/2017,3.12,-0.51,1.3,-3.28,4.22,-1.56,1.61,-0.25,2.56,-0.45,1.06,0.06
6/1/2017,-1.03,3.51,1.28,-0.08,-2.1,-2.22,-1.89,5.54,-1.89,4.22,0.78,0.06
